Vancouver (CY) — Historical Universe by Bedroom Type  
1990 to 2019 Row / Apartment October
,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,"9,107","36,051","8,284",728,"54,170",
1991 October,"9,307","37,966","8,335",695,"56,303",
1992 October,"8,547","37,874","9,183",763,"56,367",
1993 October,"8,267","37,665","9,273",757,"55,962",
1994 October,"8,795","37,217","9,217",758,"55,987",
1995 October,"8,700","37,000","9,181",788,"55,669",
1996 October,"8,771","37,218","9,401",802,"56,192",
1997 October,"8,747","37,086","9,185",812,"55,830",
1998 October,"8,974","36,963","9,142",801,"55,880",
1999 October,"8,765","37,576","9,335",798,"56,474",
2000 October,"8,800","37,338","9,267",785,"56,190",
2001 October,"8,836","37,279","9,127",760,"56,002",
2002 October,"8,844","37,285","9,215",761,"56,105",
2003 October,"9,019","38,246","9,422",739,"57,426",
2004 October,"8,916","37,985","9,211",773,"56,885",
2005 October,"8,922","37,844","9,209",743,"56,718",
2006 October,"8,751","37,186","9,020",709,"55,666",
2007 October,"8,623","37,120","8,895",654,"55,292",
2008 October,"8,251","36,997","8,874",649,"54,771",
2009 October,"8,438","37,217","8,888",592,"55,135",
2010 October,"8,370","37,230","8,932",601,"55,133",
2011 October,"8,374","37,390","9,054",618,"55,436",
2012 October,"8,374","37,406","9,139",637,"55,556",
2013 October,"8,499","37,695","9,092",653,"55,939",
2014 October,"8,591","37,779","9,161",645,"56,176",
2015 October,"8,606","37,987","9,284",641,"56,518",
2016 October,"8,634","38,511","9,578",620,"57,343",
2017 October,"8,916","38,554","9,461",631,"57,562",
2018 October,"8,898","38,842","9,786",604,"58,130",
2019 October,"8,933","39,045","10,185",706,"58,869",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
Source,CMHC Rental Market Survey
